date,section,file,change_type,description,expected_impact,commit
2026-05-05,custom-nav,sections/custom-nav.liquid,add,"Phase 3 of header port — top navigation row with Deodap-style 3-pane interactive mega menu and mobile drawer. Self-contained section with enabled_on:[header]. Uses Shopify menu (linklists.<handle>) — supports up to 3 levels of nesting. Top-level items with children render a button + chevron + mega panel; left sidebar shows L2 items, right pane shows currently-active L2's L3 grandchildren (CSS Grid 3-column). Highlighted items via comma-separated section setting (matches against title, case-insensitive). Mobile: hamburger button (in nav bar) + off-canvas drawer using native <details>/<summary> for accordion (no JS for accordion expand). Sticky-on-scroll toggle. All inline CSS in {% style %} block — no asset CSS file. Loads custom-nav.js (~165 lines, deferred) for: hover-open mega menu with delays, click toggle, L2-pane switching, outside-click + Escape-key close, mobile drawer open/close + body-scroll lock. Custom element <custom-nav> registers idempotently (safe under section reload). Uses theme .page-width on inner containers.",Replicates Deodap's nav and mega menu functionally and visually; works in both themes,664af0f
2026-05-05,custom-nav,assets/custom-nav.js,add,"Companion JS for custom-nav.liquid. Defines <custom-nav> custom element. Handles desktop mega menu hover (80ms open delay / 160ms close delay) + click toggle + L2 pane switching; global Escape-key dismiss + outside-click dismiss; mobile drawer open/close with body overflow lock. Idempotent registration check at top — safe to run multiple times during section reload. ~165 lines, no dependencies.",Drives the mega-menu and mobile-drawer interactions for custom-nav,664af0f
2026-05-05,custom-header,sections/custom-header.liquid,enhance,"Major rework of mobile layout + SEO additions. Added Organization and WebSite JSON-LD scripts (toggleable via enable_seo_schema setting). Moved hamburger button + mobile off-canvas drawer here from custom-nav so the hamburger sits beside the logo on mobile (matches Deodap's mobile layout). New settings: show_hamburger checkbox, mobile_menu link_list picker (separate from desktop nav menu — supports up to 3 levels), show_mobile_app_badges checkbox, mobile_gp_image / mobile_gp_link / mobile_as_image / mobile_as_link / mobile_app_links_new_tab / mobile_app_badge_height for the badges row. Mobile layout (max-width:749px): hamburger (order 0) + logo centered (order 1) + account/wishlist/cart icons (order 2) on the top row; full-width search (order 3); app badges row (order 4) below search. Drawer uses native <details> for nested accordion. Inline <script> for drawer open/close (idempotent via dataset.drawerBound flag). Defensive Hyper CSS: explicit min-height:40px on .ds-header__search; min-width:56px and align-self:stretch on .ds-header__search-btn for consistent button height.",Mobile header now matches Deodap's design — hamburger beside logo, app badges below search; SEO schema added for both themes,f261bc9
2026-05-05,header-group,sections/header-group.json,remove,"Removed the disabled stock 'header' section from header-group.json. The custom-header / custom-nav / utility-bar trio fully replaces it.",Cleaner section group; no orphaned disabled section,f261bc9
2026-05-05,custom-nav,sections/custom-nav.liquid,fix,"Hide the entire custom-nav section root on mobile (max-width:989px) when show_hamburger is off — eliminates the empty dark strip that appeared below custom-header's app badges. Also changed schema default for show_hamburger from true to false (since custom-header is now the canonical mobile hamburger location); added schema info text recommending users leave it off when custom-header has its own hamburger.",Removes the duplicate hamburger / empty dark strip on mobile,240c9e3
2026-05-05,header-group,sections/header-group.json,update,"Set show_hamburger: false on the existing custom_nav section instance to immediately resolve the duplicate hamburger on the live site (the schema default change only affects future installs).",Live mobile view no longer shows the secondary nav strip / hamburger,240c9e3
2026-05-05,category-grid,sections/category-grid.liquid,enhance,"Replaced the hardcoded max-width:1400px and 16px horizontal padding with the theme's .page-width class on both the heading h2 and the grid ul. Section root now keeps only vertical padding (padding-block); horizontal alignment comes from .page-width via var(--page-width) and the theme's page-padding variable. Matches the page-width refactor done earlier on utility-bar — section content now aligns with the rest of the storefront at whatever width is configured in theme settings.",Category grid content respects theme page width on both Dawn and Hyper,61f3f33
2026-05-05,custom-footer,sections/custom-footer.liquid,add,"Self-contained footer section replicating Deodap's design — enabled_on:[footer]. Section settings: logo + width, tagline, Google Play / App Store badges (image + link + height + new-tab), 'FOLLOW US' label, company info (richtext, shown in highlighted box), copyright (richtext), trust seal max height, all colors (background, text, muted, accent, info-box bg/text), and padding. Three block types: menu_column (heading + link_list, repeatable), social_icon (platform select with inline brand-colored SVGs for FB/IG/X/LinkedIn/YouTube/WhatsApp/Snapchat/Pinterest/TikTok + URL), trust_seal (image + URL + new-tab + alt). Desktop: CSS Grid with 1.2fr logo-column + repeat(N, 1fr) menu columns where N = menu_column block count. Mobile (<=989px): logo column rearranges via grid-template-areas to logo+badges side-by-side, then tagline/social/info/copy stacked; each menu column becomes a <details>/<summary> accordion (heading h3 hidden on mobile). Tiny inline script (<700 bytes) sets/unsets <details open> based on matchMedia(min-width:990px) so menus are open on desktop, collapsed on mobile by default — avoids cross-browser quirks of forcing closed-details children visible via CSS. Uses theme .page-width on inner containers. All inline CSS in {% style %}; no asset deps. Default preset includes 4 menu columns + 5 social icons.",Replicates Deodap's footer visually with full block-driven configurability,c56ace0
2026-05-05,Featured-Cards-Carousel,sections/Featured-Cards-Carousel.liquid,rewrite,"Ambiw-Dawn ONLY. Full rewrite of the carousel — replaced Swiper with native CSS scroll-snap. Removes the ~150KB Swiper bundle dependency entirely; eliminates the 'prev'/'next' text artifacts that appeared before Swiper initialized (those came from Swiper's default ::after content rules). Track uses display:flex + overflow-x:auto + scroll-snap-type:x mandatory + scroll-behavior:smooth; each slide gets scroll-snap-align:start with flex-basis computed from CSS variable so slides_per_view_desktop is configurable (default 2.5, range 1-4 step 0.5). Mobile uses 1 slide / 100% width. First slide image: loading=eager + fetchpriority=high + <picture> with mobile/desktop sources for LCP. Subsequent images: lazy. Tiny inline <script> (~80 lines) handles arrow buttons (programmatic scrollBy with smooth behavior), dots pagination (mobile-only, mirrors original), enable/disable arrow buttons at scroll bounds, and optional autoplay (off by default for perf, pauses on hover/pointerdown/off-screen via IntersectionObserver). New schema settings: slides_per_view_desktop, gap, border_radius, padding, background_color, dot_active_color, enable_autoplay, autoplay_delay. Existing settings (custom_class, order_no, blocks: image/mobile_image/link) preserved for back-compat with current index.json config. Hidden scrollbar (scrollbar-width:none + ::-webkit-scrollbar display:none).",Eliminates ~150KB JS dependency, fixes prev/next text artifacts, faster LCP and zero render-blocking JS,d4c7c4d
2026-05-05,Featured-Cards-Carousel,assets/swiper-bundle.min.js,delete,"No longer needed — section now uses native CSS scroll-snap.",Saves ~150KB JS download per page,d4c7c4d
2026-05-05,Featured-Cards-Carousel,assets/swiper-bundle.min.css,delete,"No longer needed — section now uses native CSS scroll-snap.",Saves ~17KB CSS download per page,d4c7c4d
2026-05-05,Featured-Cards-Carousel,assets/featured-cards-carousel.js,delete,"Old Swiper init script — no longer needed.",Saves ~2KB JS,d4c7c4d
2026-05-05,Featured-Cards-Carousel,assets/featured-cards-carousel.css,delete,"Old Swiper-paired stylesheet — no longer needed.",Saves ~2KB CSS,d4c7c4d
2026-05-05,Featured-Cards-Carousel,sections/Featured-Cards-Carousel.liquid,fix,"Fix for previous rewrite where slider didn't work and images rendered at natural (huge) size. Two root causes: (1) inline <script> tag does NOT auto-execute when Shopify reloads the section via innerHTML in the theme editor — replaced with a custom element <fcc-carousel> whose connectedCallback fires reliably in all contexts (page load, editor reload, dynamic insertion). (2) No height constraint on slides meant if any CSS calc had any issue, images rendered at intrinsic dimensions. Now slides have aspect-ratio:16/9 (configurable via slide_aspect_ratio setting) and images use width/height:100% + object-fit:cover (configurable cover/contain via image_fit setting). Also added: fallback flex-basis (40%) before the calc; min-width:0 on flex children; max-width:100% on images; display:block on the custom element. Computed flex-basis values now come from Liquid arithmetic instead of CSS variables in calc — fewer ways to break. JS moved out of inline <script> into assets/featured-cards-carousel.js (the same path that was deleted in d4c7c4d, but now contains tiny ~100-line custom-element code instead of Swiper bundle). New settings: slide_aspect_ratio (text, default '16 / 9'), image_fit (select, default cover).",Slider works in editor + frontend; images can never overflow regardless of intrinsic size,e283e85
2026-05-05,Featured-Cards-Carousel,assets/featured-cards-carousel.js,re-add,"Tiny custom-element JS (~100 lines, ~3KB unminified) for the carousel. Defines <fcc-carousel> with connectedCallback (idempotent via _bound flag) handling: arrow nav (programmatic scrollBy), dot pagination, scroll-state tracking via requestAnimationFrame, optional autoplay with hover/pointerdown/IntersectionObserver pause. Replaces deleted Swiper-init script.",Reliable carousel runtime that actually executes in all Shopify contexts,e283e85
2026-05-05,Featured-Cards-Carousel,sections/Featured-Cards-Carousel.liquid,rewrite,"Bulletproof rewrite after previous attempt still rendered slides at full natural image size in the user's theme. Removed reliance on: (1) custom elements — used plain <section> with data attribute (no upgrade timing issues), (2) CSS variables in critical layout calc — Liquid pre-computes pixel values, (3) aspect-ratio property — uses padding-top % hack with universal browser support and Liquid-computed percentages. Critical CSS now uses !important on .fccx__track display:flex and .fccx__slide flex-basis to defeat any conflicting theme rules. Section root and track also have inline style attributes (highest specificity, can't be overridden by external CSS). Class names changed to .fccx-{id} (section-id-scoped) so each instance has its own scoped selectors — eliminates any chance of selector collision with other theme CSS. Aspect ratio is now configurable via two range settings (aspect_w, aspect_h, default 16/9). Padding-top percent is computed in Liquid: aspect_h * 100 / aspect_w / cols_d for desktop, aspect_h * 100 / aspect_w for mobile. Plain inline JS (no class syntax, no custom element registration) — section-id-scoped lookup via data-fccx attribute, idempotent via dataset.fccxBound flag. Schema preserves all existing block and section settings. Autoplay still optional, off by default.",Slider should now actually render horizontally with constrained slide sizes regardless of theme CSS / browser quirks,b2a8501
2026-05-05,Featured-Cards-Carousel,assets/featured-cards-carousel.js,delete,"No longer needed — JS is fully inline in the section file (small enough at ~50 lines, gives reliable execution + cache-bust by being part of the section's HTML).",Removes one HTTP request; eliminates external-asset caching as a possible source of bugs,b2a8501
2026-05-05,Featured-Cards-Carousel,sections/Featured-Cards-Carousel.liquid,reset,"Per user request — wiped my broken rewrites and restored the section file verbatim from the Deodap base theme. This is the same content as the original port (commit 1aa9544) before any of my custom rewrites. Schema and behavior identical to Deodap's working production version.",Carousel restored to known-working baseline matching Deodap source,PENDING
2026-05-05,Featured-Cards-Carousel,assets/featured-cards-carousel.css,re-add,"Restored from Deodap base theme — original carousel stylesheet.",Required by reset section file,PENDING
2026-05-05,Featured-Cards-Carousel,assets/featured-cards-carousel.js,re-add,"Restored from Deodap base theme — original Swiper init script.",Required by reset section file,PENDING
2026-05-05,Featured-Cards-Carousel,assets/swiper-bundle.min.css,re-add,"Restored from Deodap base theme — Swiper library stylesheet.",Required by reset section file,PENDING
2026-05-05,Featured-Cards-Carousel,assets/swiper-bundle.min.js,re-add,"Restored from Deodap base theme — Swiper library runtime.",Required by reset section file,PENDING
